title,rating,year,actors,languages,runtime,url
Ningen no jôken,8.5,1959,Tatsuya Nakadai;Michiyo Aratama;Chikage Awashima;Ineko Arima,Japanese;Mandarin,208,https://www.imdb.com//title/tt0053114/
Apur Sansar,8.5,1959,Soumitra Chatterjee;Sharmila Tagore;Alok Chakravarty;Swapan Mukherjee,Bengali,105,https://www.imdb.com//title/tt0052572/
Rocco e i suoi fratelli,8.3,1960,Alain Delon;Renato Salvatori;Annie Girardot;Claudia Cardinale,Italian,179,https://www.imdb.com//title/tt0054248/
Het appartement,8.3,1960,Jack Lemmon;Shirley MacLaine;Fred MacMurray;Ray Walston,English,125,https://www.imdb.com//title/tt0053604/
Psycho,8.5,1960,Anthony Perkins;Janet Leigh;Vera Miles;John Gavin,English,109,https://www.imdb.com//title/tt0054215/
Le trou,8.5,1960,André Bervil;Jean Keraudy;Michel Constantin;Philippe Leroy,French,131,https://www.imdb.com//title/tt0054407/
Mughal-E-Azam,8.2,1960,Prithviraj Kapoor;Madhubala;Dilip Kumar;Durga Khote,Urdu,197,https://www.imdb.com//title/tt0054098/
Ningen no jôken,8.8,1961,Tatsuya Nakadai;Michiyo Aratama;Tamao Nakamura;Yûsuke Kawazu,Japanese;Mandarin;Russian,190,https://www.imdb.com//title/tt0055233/
Viridiana,8.1,1961,Silvia Pinal;Francisco Rabal;Fernando Rey;José Calvo,Spanish;English,90,https://www.imdb.com//title/tt0055601/
Als in een donkere spiegel,8.0,1961,Harriet Andersson;Gunnar Björnstrand;Max von Sydow;Lars Passgård,Swedish;Latin,90,https://www.imdb.com//title/tt0055499/
Yôjinbô,8.2,1961,Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai;Yôko Tsukasa,Japanese,110,https://www.imdb.com//title/tt0055630/
Oordeel te Neurenberg,8.2,1961,Spencer Tracy;Burt Lancaster;Richard Widmark;Marlene Dietrich,English;German,179,https://www.imdb.com//title/tt0055031/
Ivanovo detstvo,8.1,1962,Eduard Abalov;Nikolay Burlyaev;Valentin Zubkov;Evgeniy Zharikov;Stepan Krylov,Russian;German,95,https://www.imdb.com//title/tt0056111/
Lawrence of Arabia,8.3,1962,Peter O'Toole;Alec Guinness;Anthony Quinn;Jack Hawkins,English;Arabic;Turkish,228,https://www.imdb.com//title/tt0056172/
Il sorpasso,8.3,1962,Vittorio Gassman;Jean-Louis Trintignant;Catherine Spaak;Claudio Gora,Italian;Latin;German;English;Arabic,105,https://www.imdb.com//title/tt0056512/
Seppuku,8.6,1962,Tatsuya Nakadai;Akira Ishihama;Shima Iwashita;Tetsurô Tanba,Japanese,133,https://www.imdb.com//title/tt0056058/
To Kill a Mockingbird,8.3,1962,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy,English,129,https://www.imdb.com//title/tt0056592/
8½,8.0,1963,Marcello Mastroianni;Anouk Aimée;Claudia Cardinale;Sandra Milo,Italian;French;English;German,138,https://www.imdb.com//title/tt0056801/
The Great Escape,8.2,1963,Steve McQueen;James Garner;Richard Attenborough;Charles Bronson,English;German;French;Russian;Spanish,172,https://www.imdb.com//title/tt0057115/
El verdugo,8.0,1963,Nino Manfredi;Emma Penella;José Isbert;José Luis López Vázquez,Spanish,87,https://www.imdb.com//title/tt0057643/
Tengoku to jigoku,8.4,1963,Toshirô Mifune;Yutaka Sada;Tatsuya Nakadai;Kyôko Kagawa,Japanese,143,https://www.imdb.com//title/tt0057565/
Nattvardsgästerna,8.1,1963,Ingrid Thulin;Gunnar Björnstrand;Gunnel Lindblom;Max von Sydow,Swedish,81,https://www.imdb.com//title/tt0057358/
Fail Safe,8.0,1964,Henry Fonda;Walter Matthau;Fritz Weaver;Dan O'Herlihy,English,112,https://www.imdb.com//title/tt0058083/
Soy Cuba,8.2,1964,Sergio Corrieri;Salvador Wood;José Gallardo;Raúl García,Spanish;English,141,https://www.imdb.com//title/tt0058604/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Peter Sellers;George C. Scott;Sterling Hayden;Keenan Wynn,English;Russian,95,https://www.imdb.com//title/tt0057012/
Charulata,8.2,1964,Soumitra Chatterjee;Madhabi Mukherjee;Shailen Mukherjee;Shyamal Ghoshal,Bengali;English,117,https://www.imdb.com//title/tt0057935/
De vrouw in het zand,8.5,1964,Eiji Okada;Kyôko Kishida;Hiroko Itô;Kôji Mitsui,Japanese,147,https://www.imdb.com//title/tt0058625/
Het winkeltje aan 't Corso,8.3,1965,Elmar Klos;Ida Kaminska;Jozef Kroner;Frantisek Zvarík;Hana Slivková,Slovak;Yiddish;German;Latin,128,https://www.imdb.com//title/tt0059527/
Oorlog en Vrede,8.3,1965,Lyudmila Saveleva;Vyacheslav Tikhonov;Sergey Bondarchuk;Boris Zakhava,Russian;German;French,422,https://www.imdb.com//title/tt0063794/
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.6,1965,Aleksandr Demyanenko;Mikhail Pugovkin;Aleksei Smirnov;Vladimir Basov,Russian,91,https://www.imdb.com//title/tt0059550/
Guide,8.4,1965,Dev Anand;Waheeda Rehman;Leela Chitnis;Anwar Hussain,Hindi,183,https://www.imdb.com//title/tt0059246/
Akahige,8.4,1965,Toshirô Mifune;Yûzô Kayama;Tsutomu Yamazaki;Reiko Dan,Japanese,185,https://www.imdb.com//title/tt0058888/
De slag om Algiers,8.1,1966,Brahim Hadjadj;Jean Martin;Yacef Saadi;Samia Kerbash,Arabic;French;English,121,https://www.imdb.com//title/tt0058946/
Persona,8.1,1966,Bibi Andersson;Liv Ullmann;Margaretha Krook;Gunnar Björnstrand,Swedish;English,85,https://www.imdb.com//title/tt0060827/
"The Good, the Bad and the Ugly",8.8,1966,Clint Eastwood;Eli Wallach;Lee Van Cleef;Aldo Giuffrè,Italian,161,https://www.imdb.com//title/tt0060196/
Andrei Rublev,8.1,1966,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko;Nikolay Sergeev,Russian;Italian;Tatar,205,https://www.imdb.com//title/tt0060107/
Beregis avtomobilya,8.1,1966,Innokentiy Smoktunovskiy;Oleg Efremov;Lyubov Dobrzhanskaya;Olga Aroseva,Russian,94,https://www.imdb.com//title/tt0060161/
Cool Hand Luke,8.1,1967,Paul Newman;George Kennedy;Strother Martin;J.D. Cannon,English,127,https://www.imdb.com//title/tt0061512/
Le samouraï,8.1,1967,Alain Delon;François Périer;Nathalie Delon;Cathy Rosier,French,105,https://www.imdb.com//title/tt0062229/
The Graduate,8.0,1967,Dustin Hoffman;Anne Bancroft;Katharine Ross;William Daniels,English,106,https://www.imdb.com//title/tt0061722/
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",8.4,1967,Aleksandr Demyanenko;Natalya Varley;Vladimir Etush;Frunzik Mkrtchyan,Russian,82,https://www.imdb.com//title/tt0060584/
Jôi-uchi: Hairyô tsuma shimatsu,8.4,1967,Toshirô Mifune;Yôko Tsukasa;Gô Katô;Tatsuyoshi Ehara,Japanese,128,https://www.imdb.com//title/tt0061847/
Once Upon a Time in the West,8.5,1968,Henry Fonda;Charles Bronson;Claudia Cardinale;Jason Robards,English;Italian;Spanish,165,https://www.imdb.com//title/tt0064116/
2001: Een zwerftocht in de ruimte,8.3,1968,Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter,English;Russian;French,149,https://www.imdb.com//title/tt0062622/
Padosan,8.1,1968,Sunil Dutt;Saira Banu;Mehmood;Kishore Kumar,Hindi,157,https://www.imdb.com//title/tt0063404/
Apenplaneet,8.0,1968,Charlton Heston;Roddy McDowall;Kim Hunter;Maurice Evans,English,112,https://www.imdb.com//title/tt0063442/
Skammen,8.0,1968,Liv Ullmann;Max von Sydow;Sigge Fürst;Gunnar Björnstrand,Swedish,103,https://www.imdb.com//title/tt0063611/
Z,8.3,1969,Yves Montand;Irene Papas;Jean-Louis Trintignant;François Périer,French;Russian;English,127,https://www.imdb.com//title/tt0065234/
A tanú,8.7,1969,Ferenc Kállai;Lajos Öze;Béla Both;Zoltán Fábri,Hungarian,105,https://www.imdb.com//title/tt0065067/
Butch Cassidy and the Sundance Kid,8.0,1969,Paul Newman;Robert Redford;Katharine Ross;Strother Martin,English;Spanish,110,https://www.imdb.com//title/tt0064115/
Brilliantovaya ruka,8.4,1969,Yuriy Nikulin;Nina Grebeshkova;Andrey Mironov;Anatoliy Papanov,Russian,100,https://www.imdb.com//title/tt0062759/
The Army of Shadows,8.2,1969,Lino Ventura;Paul Meurisse;Jean-Pierre Cassel;Simone Signoret,French;German;English,145,https://www.imdb.com//title/tt0064040/
Patton,7.9,1970,George C. Scott;Karl Malden;Stephen Young;Michael Strong,English;German;French;Russian;Arabic;Italian,172,https://www.imdb.com//title/tt0066206/
Il conformista,8.0,1970,Jean-Louis Trintignant;Stefania Sandrelli;Gastone Moschin;Enzo Tarascio,Italian;French;Latin;Chinese,113,https://www.imdb.com//title/tt0065571/
De dader staat boven verdenking,8.1,1970,Gian Maria Volontè;Florinda Bolkan;Gianni Santuccio;Orazio Orlando,Italian,115,https://www.imdb.com//title/tt0065889/
De Rode Cirkel,8.0,1970,Alain Delon;Bourvil;Gian Maria Volontè;Yves Montand,French,140,https://www.imdb.com//title/tt0065531/
Beloe solntse pustyni,7.8,1970,Anatoliy Kuznetsov;Pavel Luspekayev;Spartak Mishulin;Kakhi Kavsadze,Russian,84,https://www.imdb.com//title/tt0066565/
12 stulev,8.3,1971,Archil Gomiashvili;Sergey Filippov;Mikhail Pugovkin;Glikeriya Bogdanova-Chesnokova,Russian;Lithuanian;German;Georgian;French,159,https://www.imdb.com//title/tt0065670/
A Clockwork Orange,8.3,1971,Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke,English,136,https://www.imdb.com//title/tt0066921/
Dzhentlmeny udachi,8.5,1971,Evgeniy Leonov;Georgiy Vitsin;Saveliy Kramarov;Radner Muratov,Russian,88,https://www.imdb.com//title/tt0068519/
Anand,8.2,1971,Rajesh Khanna;Amitabh Bachchan;Sumita Sanyal;Ramesh Deo,Hindi,122,https://www.imdb.com//title/tt0066763/
De Laatste Kruistocht,8.4,1971,Amza Pellea;Ion Besoiu;Olga Tudorache;Irina Gardescu,Romanian,203,https://www.imdb.com//title/tt0066078/
The Godfather,9.2,1972,Marlon Brando;Al Pacino;James Caan;Diane Keaton,English;Italian;Latin,175,https://www.imdb.com//title/tt0068646/
Solaris,8.1,1972,Natalya Bondarchuk;Donatas Banionis;Jüri Järvet;Vladislav Dvorzhetskiy,Russian;German,167,https://www.imdb.com//title/tt0069293/
Schreeuw zonder antwoord,8.1,1972,Harriet Andersson;Liv Ullmann;Kari Sylwan;Ingrid Thulin,Swedish;German;Danish,91,https://www.imdb.com//title/tt0069467/
Kozure Ôkami: Sanzu no kawa no ubaguruma,8.0,1972,Tomisaburô Wakayama;Kayo Matsuo;Minoru Ôki;Akiji Kobayashi,Japanese,82,https://www.imdb.com//title/tt0068816/
Sleuth,8.0,1972,Laurence Olivier;Michael Caine;Alec Cawthorne;John Matthews,English;Italian,138,https://www.imdb.com//title/tt0069281/
Canim Kardesim,8.7,1973,Tarik Akan;Kahraman Kiral;Halit Akçatepe;Metin Akpinar,Turkish,92,https://www.imdb.com//title/tt0267351/
The Sting,8.3,1973,Paul Newman;Robert Redford;Robert Shaw;Charles Durning,English,129,https://www.imdb.com//title/tt0070735/
Ivan Vasilevich menyaet professiyu,8.4,1973,Yuriy Yakovlev;Leonid Kuravlyov;Aleksandr Demyanenko;Saveliy Kramarov,Russian;German,93,https://www.imdb.com//title/tt0070233/
Paper Moon,8.1,1973,Ryan O'Neal;Tatum O'Neal;Madeline Kahn;John Hillerman,English,102,https://www.imdb.com//title/tt0070510/
Papillon,8.0,1973,Steve McQueen;Dustin Hoffman;Victor Jory;Don Gordon,English;Spanish,151,https://www.imdb.com//title/tt0070511/
Chinatown,8.2,1974,Jack Nicholson;Faye Dunaway;John Huston;Perry Lopez,English;Cantonese;Spanish,130,https://www.imdb.com//title/tt0071315/
The Godfather: Part II,9.0,1974,Al Pacino;Robert De Niro;Robert Duvall;Diane Keaton,English;Italian;Spanish;Latin;Sicilian,202,https://www.imdb.com//title/tt0071562/
Scener ur ett äktenskap,8.4,1974,Liv Ullmann;Erland Josephson;Bibi Andersson;Gunnel Lindblom,Swedish,169,https://www.imdb.com//title/tt6725014/
Köyden Indim Sehire,8.3,1974,Kemal Sunal;Meral Zeren;Zeki Alasya;Metin Akpinar,Turkish,77,https://www.imdb.com//title/tt0252619/
A Woman Under the Influence,8.2,1974,Gena Rowlands;Peter Falk;Fred Draper;Lady Rowlands,English;Italian,155,https://www.imdb.com//title/tt0072417/
Chupke Chupke,8.3,1975,Dharmendra;Sharmila Tagore;Amitabh Bachchan;Jaya Bachchan,Hindi,146,https://www.imdb.com//title/tt0072783/
Flåklypa Grand Prix,8.5,1975,Wenche Foss;Per Theodor Haugen;Harald Heide-Steen Jr.;Leif Juster,Norwegian,88,https://www.imdb.com//title/tt0073000/
Hababam Sinifi,9.3,1975,Kemal Sunal;Münir Özkul;Halit Akçatepe;Tarik Akan,Turkish,87,https://www.imdb.com//title/tt0252487/
Bizim Aile,8.4,1975,Tayfun Akalin;Tarik Akan;Tuncay Akça;Halit Akçatepe,Turkish,88,https://www.imdb.com//title/tt0456047/
One Flew Over the Cuckoo's Nest,8.7,1975,Jack Nicholson;Louise Fletcher;Michael Berryman;Peter Brocco,English,133,https://www.imdb.com//title/tt0073486/
Tosun Pasa,9.0,1976,Kemal Sunal;Müjde Ar;Adile Nasit;Sener Sen,Turkish,90,https://www.imdb.com//title/tt0253828/
Al-risâlah,9.0,1976,Abdallah Gheith;Mona Wassef;Hamdy Gheith;Ali Achmed Taram,Arabic;English;Hindi,207,https://www.imdb.com//title/tt0075143/
Hababam Sinifi Sinifta Kaldi,8.9,1976,Kemal Sunal;Münir Özkul;Semra Özdamar;Adile Nasit,Turkish,91,https://www.imdb.com//title/tt0252488/
Süt Kardesler,8.9,1976,Kemal Sunal;Sener Sen;Halit Akçatepe;Hale Soygazi,Turkish,80,https://www.imdb.com//title/tt0253779/
Kapicilar Krali,8.4,1976,Kemal Sunal;Sevda Ferdag;Bilge Zobu;Sevket Altug,Turkish,84,https://www.imdb.com//title/tt0252591/
Çöpçüler Krali,8.6,1977,Kemal Sunal;Sener Sen;Aysen Gruda;Ihsan Yüce,Turkish,80,https://www.imdb.com//title/tt0253997/
Saban Oglu Saban,8.8,1977,Kemal Sunal;Halit Akçatepe;Sener Sen;Sevda Aktolga,Turkish,90,https://www.imdb.com//title/tt0253614/
Hababam Sinifi Tatilde,8.7,1977,Sevda Aktolga;Ahmet Ariman;Filiz Bozkurt;Aysen Gruda,Turkish,97,https://www.imdb.com//title/tt0252489/
Star Wars: Episode IV - A New Hope,8.6,1977,Mark Hamill;Harrison Ford;Carrie Fisher;Alec Guinness,English,121,https://www.imdb.com//title/tt0076759/
Hababam Sinifi Uyaniyor,8.8,1977,Tayfun Akalin;Tuncay Akça;Halit Akçatepe;Sitki Akçatepe,Turkish,94,https://www.imdb.com//title/tt0252490/
Selvi Boylum Al Yazmalim,8.6,1978,Türkan Soray;Kadir Inanir;Ahmet Mekin;Hülya Tuglu,Turkish,90,https://www.imdb.com//title/tt0263975/
The Deer Hunter,8.1,1978,Robert De Niro;Christopher Walken;John Cazale;John Savage,English;Vietnamese;French;Russian;Cantonese,183,https://www.imdb.com//title/tt0077416/
Höstsonaten,8.2,1978,Ingrid Bergman;Liv Ullmann;Lena Nyman;Halvar Björk,Swedish;English,99,https://www.imdb.com//title/tt0077711/
Neseli Günler,8.7,1978,Münir Özkul;Adile Nasit;Sener Sen;Aysen Gruda,Turkish,92,https://www.imdb.com//title/tt0765833/
Kibar Feyzo,8.7,1978,Kemal Sunal;Sener Sen;Ilyas Salman;Adile Nasit,Turkish,83,https://www.imdb.com//title/tt0252597/
Stalker,8.1,1979,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko,Russian,162,https://www.imdb.com//title/tt0079944/
Korkusuz Korkak,8.1,1979,Kemal Sunal;Aysen Atav;Turgut Özatay;Nejat Gürçen,Turkish,77,https://www.imdb.com//title/tt0252611/
Golmaal,8.5,1979,Amol Palekar;Bindiya Goswami;Deven Verma;Shubha Khote,Hindi,120,https://www.imdb.com//title/tt0079221/
Apocalypse Now,8.4,1979,Martin Sheen;Marlon Brando;Robert Duvall;Frederic Forrest,English;French;Vietnamese,147,https://www.imdb.com//title/tt0078788/
Alien,8.4,1979,Sigourney Weaver;Tom Skerritt;John Hurt;Veronica Cartwright,English,117,https://www.imdb.com//title/tt0078748/
Ko to tamo peva,8.9,1980,Pavle Vuisic;Dragan Nikolic;Danilo 'Bata' Stojkovic;Aleksandar Bercek,Serbo-Croatian,86,https://www.imdb.com//title/tt0076276/
The Shining,8.4,1980,Jack Nicholson;Shelley Duvall;Danny Lloyd;Scatman Crothers,English,146,https://www.imdb.com//title/tt0081505/
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams,English,124,https://www.imdb.com//title/tt0080684/
Zübük,8.6,1980,Kemal Sunal;Nevra Serezli;Kadir Savun;Bülent Kayabas,Turkish,88,https://www.imdb.com//title/tt0253991/
Omar Mukhtar: Lion of the Desert,8.3,1980,Anthony Quinn;Oliver Reed;Rod Steiger;Irene Papas,English;Arabic;Italian,173,https://www.imdb.com//title/tt0081059/
Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Harrison Ford;Karen Allen;Paul Freeman;John Rhys-Davies,English;German;Hebrew;Spanish;Arabic;Nepali,115,https://www.imdb.com//title/tt0082971/
Vuk,8.3,1981,Judit Pogány;József Gyabronka;Teri Földi;Gyula Szabó,Hungarian,79,https://www.imdb.com//title/tt0131636/
Das Boot,8.3,1981,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch,German,149,https://www.imdb.com//title/tt0082096/
Mis,8.2,1981,Stanislaw Tym;Barbara Burska;Christine Paul;Krzysztof Kowalewski,Polish;English,111,https://www.imdb.com//title/tt0082755/
Davaro: Son Eskiya,8.1,1981,Kemal Sunal;Sener Sen;Pembe Mutlu;Aysen Gruda,Turkish,94,https://www.imdb.com//title/tt0252361/
Çiçek Abbas,8.1,1982,Ilyas Salman;Sener Sen;Aysen Gruda;Pembe Mutlu,Turkish,87,https://www.imdb.com//title/tt0263208/
Blade Runner,8.1,1982,Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos,English;German;Cantonese;Japanese;Hungarian;Arabic;Korean,117,https://www.imdb.com//title/tt0083658/
Fitzcarraldo,8.1,1982,Klaus Kinski;Claudia Cardinale;José Lewgoy;Miguel Ángel Fuentes,German;English;Spanish;Quechua;Italian,158,https://www.imdb.com//title/tt0083946/
Angoor,8.3,1982,Sanjeev Kumar;Moushumi Chatterjee;Deven Verma;Aruna Irani,Hindi,131,https://www.imdb.com//title/tt0215517/
Maratonci trce pocasni krug,8.9,1982,Bogdan Diklic;Danilo 'Bata' Stojkovic;Pavle Vuisic;Mija Aleksic,Serbian,92,https://www.imdb.com//title/tt0084302/
Nostalgia,8.1,1983,Oleg Yankovskiy;Erland Josephson;Domiziana Giordano;Patrizia Terreno,Russian;Italian,125,https://www.imdb.com//title/tt0086022/
Jaane Bhi Do Yaaro,8.4,1983,Naseeruddin Shah;Ravi Baswani;Bhakti Barve;Satish Shah,Hindi,132,https://www.imdb.com//title/tt0085743/
Sekerpare,8.0,1983,Ilyas Salman;Sener Sen;Yaprak Özdemiroglu;Aysen Gruda,Turkish,90,https://www.imdb.com//title/tt0494823/
Star Wars: Episode VI - Return of the Jedi,8.3,1983,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams,English,131,https://www.imdb.com//title/tt0086190/
Scarface,8.3,1983,Al Pacino;Michelle Pfeiffer;Steven Bauer;Mary Elizabeth Mastrantonio,English;Spanish,170,https://www.imdb.com//title/tt0086250/
Amadeus,8.3,1984,F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice,English;Italian;Latin;German,160,https://www.imdb.com//title/tt0086879/
Varljivo leto '68,8.5,1984,Slavko Stimac;Danilo 'Bata' Stojkovic;Mira Banjac;Mija Aleksic,Serbo-Croatian,91,https://www.imdb.com//title/tt0088338/
Balkanski spijun,8.9,1984,Bozidar 'Bota' Nikolic;Danilo 'Bata' Stojkovic;Bora Todorovic;Mira Banjac;Sonja Savic,Serbo-Croatian,95,https://www.imdb.com//title/tt0086935/
Kaze no tani no Naushika,8.1,1984,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda;Gorô Naya,Japanese,117,https://www.imdb.com//title/tt0087544/
Once Upon a Time in America,8.4,1984,Robert De Niro;James Woods;Elizabeth McGovern;Treat Williams,English;Italian;French;Yiddish;Hebrew,229,https://www.imdb.com//title/tt0087843/
Esperando la carroza,8.1,1985,Luis Brandoni;China Zorrilla;Antonio Gasalla;Julio De Grazia,Spanish,94,https://www.imdb.com//title/tt0089108/
Mishima: A Life in Four Chapters,8.0,1985,Ken Ogata;Masayuki Shionoya;Hiroshi Mikami;Junya Fukuda,Japanese;English,120,https://www.imdb.com//title/tt0089603/
Terug naar de toekomst,8.5,1985,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover,English,116,https://www.imdb.com//title/tt0088763/
Ran,8.2,1985,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu;Daisuke Ryû,Japanese,162,https://www.imdb.com//title/tt0089881/
Idi i smotri,8.3,1985,Aleksey Kravchenko;Olga Mironova;Liubomiras Laucevicius;Vladas Bagdonas,Russian;Belarusian;German,142,https://www.imdb.com//title/tt0091251/
Platoon,8.1,1986,Charlie Sheen;Tom Berenger;Willem Dafoe;Keith David,English;Vietnamese,120,https://www.imdb.com//title/tt0091763/
Aliens,8.3,1986,Sigourney Weaver;Michael Biehn;Carrie Henn;Paul Reiser,English,137,https://www.imdb.com//title/tt0090605/
Kin-dza-dza!,8.1,1986,Stanislav Lyubshin;Evgeniy Leonov;Yuriy Yakovlev;Levan Gabriadze,Georgian;Russian,135,https://www.imdb.com//title/tt0091341/
Macskafogó,8.4,1986,Miklós Benedek;Gyula Bodrogi;Ilona Béres;Péter Haumann,Hungarian,96,https://www.imdb.com//title/tt0179955/
Zügürt Aga,8.7,1986,Sener Sen;Erdal Özyagcilar;Nilgün Nazli;Füsun Demirel,Turkish,101,https://www.imdb.com//title/tt0201368/
Full Metal Jacket,8.3,1987,Matthew Modine;R. Lee Ermey;Vincent D'Onofrio;Adam Baldwin,English;Vietnamese,116,https://www.imdb.com//title/tt0093058/
The Princess Bride,8.1,1987,Cary Elwes;Mandy Patinkin;Robin Wright;Chris Sarandon,English,98,https://www.imdb.com//title/tt0093779/
Nayakan,8.7,1987,Kamal Haasan;Saranya Ponvannan;Delhi Ganesh;Janakaraj,Tamil,145,https://www.imdb.com//title/tt0093603/
Muhsin Bey,8.5,1987,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Osman Cavci,Turkish,119,https://www.imdb.com//title/tt0184756/
Khane-ye doust kodjast?,8.1,1987,Babek Ahmed Poor;Ahmed Ahmed Poor;Khodabakhsh Defaei;Iran Outari,Persian,83,https://www.imdb.com//title/tt0093342/
Tonari no Totoro,8.2,1988,Hitoshi Takagi;Noriko Hidaka;Chika Sakamoto;Shigesato Itoi,Japanese,86,https://www.imdb.com//title/tt0096283/
Hotaru no haka,8.5,1988,Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi;Yoshiko Shinohara,Japanese,89,https://www.imdb.com//title/tt0095327/
Nuovo Cinema Paradiso,8.5,1988,Philippe Noiret;Enzo Cannavale;Antonella Attili;Isa Danieli,Italian,155,https://www.imdb.com//title/tt0095765/
Dom za vesanje,8.2,1988,Davor Dujmovic;Bora Todorovic;Ljubica Adzovic;Husnija Hasimovic,Macedonian;Slovenian;Romany;Serbo-Croatian;Italian;English;German,142,https://www.imdb.com//title/tt0097223/
Krótki film o milosci,8.2,1988,Grazyna Szapolowska;Olaf Lubaszenko;Stefania Iwinska;Piotr Machalica,Polish;Portuguese,87,https://www.imdb.com//title/tt0095467/
